"name","dns_domain","u_type","install_status","ip_address","u_d_operating_system","os_domain"
"awseuwappmrd01","","Windows","In Use","10.36.1.213","Windows 2008 R2","us.maritz.net"
"awseuwappmrd02","us.maritz.net","Windows","In Use","10.36.1.32","Windows 2008 R2","us.maritz.net"
"awseuwdcus99","us.maritz.net","Windows","In Use","10.36.5.99","Windows 2008 R2","us.maritz.net"
"awseuwftp1002","","Windows","In Use","10.36.5.19","Windows 2008 R2","us.maritz.net"
"awseuwsqlmrd01","","Windows","In Use","10.36.4.189","Windows 2008 R2","us.maritz.net"
"awseuwsqlmrd02","us.maritz.net","Windows","In Use","10.36.4.154","Windows 2008 R2","us.maritz.net"
"awseuwsqlmrp01","","Windows","In Use","10.36.2.122","Windows 2008 R2","us.maritz.net"
"awseuwsqlmrp04","","Windows","In Use","10.36.2.115","Windows 2008 R2","us.maritz.net"
"awseuwsqlmrp05","","Windows","In Use","10.36.2.29","Windows 2008 R2","us.maritz.net"
"awseuwsqlmrp07","","Windows","In Use","10.36.2.233","Windows 2008 R2","us.maritz.net"
"awseuwsqlmrr01","","Windows","In Use","10.36.2.141","Windows 2008 R2","us.maritz.net"
"awseuwsqlmrr02","","Windows","In Use","10.36.2.216","Windows 2008 R2","us.maritz.net"
"awseuwsqlmrt01","","Windows","In Use","10.36.2.151","Windows 2008 R2","us.maritz.net"
"awseuwtsvr1002","us.maritz.net","Windows","In Use","10.36.5.87","Windows 2008 R2","us.maritz.net"
"awseuwwapmrd01","us.maritz.net","Windows","In Use","10.36.4.26","Windows 2008 R2","us.maritz.net"
"awseuwwapmrp01","us.maritz.net","Windows","In Use","10.36.1.173","Windows 2008 R2","us.maritz.net"
"awseuwwebmrd01","us.maritz.net","Windows","In Use","10.36.3.200","Windows 2008 R2","us.maritz.net"
"awsuseappmrp01","","Windows","Retired","10.34.5.76","Windows 2008 R2","us.maritz.net"
"awsusedcus99","us.maritz.net","Windows","In Use","10.34.5.99","Windows 2008 R2","us.maritz.net"
"awsuseftp1001","","Windows","In Use","10.34.5.7","Windows 2008 R2","us.maritz.net"
"awsusesqlmrd01","","Windows","In Use","10.34.4.113","Windows 2008 R2","us.maritz.net"
"awsusesqlmrd03","","Windows","In Use","10.34.4.91","Windows 2008 R2","us.maritz.net"
"awsusesqlmrp01","","Windows","In Use","10.34.2.220","Windows 2008 R2","us.maritz.net"
"awsusesqlmrp02","","Windows","In Use","10.34.2.221","Windows 2008 R2","us.maritz.net"
"awsusesqlmrp04","","Windows","In Use","10.34.2.164","Windows 2008 R2","us.maritz.net"
"awsusesqlmrp05","","Windows","In Use","10.34.2.217","Windows 2008 R2","us.maritz.net"
"awsusesqlmrp06","","Windows","In Use","10.34.2.18","Windows 2008 R2","us.maritz.net"
"awsusetsvr1002","","Windows","In Use","10.34.5.45","Windows 2008 R2","us.maritz.net"
"awsusewapmrd01","","Windows","In Use","10.34.4.197","Windows 2008 R2","us.maritz.net"
"awsusewapmrp01","","Windows","In Use","10.34.1.21","Windows 2008 R2","us.maritz.net"
"awsusewebmrd02","us.maritz.net","Windows","In Use","10.34.3.171","Windows 2008 R2","us.maritz.net"
"awsusewebmrd03","us.maritz.net","Windows","In Use","10.34.3.42","Windows 2008 R2","us.maritz.net"
"awsusewebmrd04","us.maritz.net","Windows","In Use","10.34.3.5","Windows 2008 R2","us.maritz.net"
"awsusewebmrd05","us.maritz.net","Windows","In Use","10.34.3.147","Windows 2008 R2","us.maritz.net"
"chi010offc01","","Windows","In Use","10.30.7.137","Windows 2008 R2","us.maritz.net"
"edi001offc05","","Windows","In Use","10.30.5.155","","us.maritz.net"
"fenappaltp02","","Windows","In Use","10.10.107.21","Windows 2003","us.maritz.net"
"fenappavp01","","Windows","In Use","156.45.55.26","Windows 2008 R2","us.maritz.net"
"fenappccad801v","us.maritz.net","Windows","In Use","156.45.66.85","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappccat801v","us.maritz.net","Windows","In Use","172.18.2.22","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappcenp04","","Windows","Build/Rebuild","156.45.65.67","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappcsmt01","","Windows","In Use","172.18.2.19","Windows 2008 R2","us.maritz.net"
"fenappdev01","","Windows","In Use","156.45.55.136","Windows 2003","us.maritz.net"
"fenappditbd501v","","Windows","In Use","156.45.55.103","Windows 2003","us.maritz.net"
"fenappditbt501v","","Windows","In Use","156.45.55.104","Windows 2003","us.maritz.net"
"fenappdlpp01","","Windows","In Use","172.19.7.41","Windows 2008 R2","us.maritz.net"
"fenappdlpp02","","Windows","In Use","172.19.7.31","Windows 2008 R2","us.maritz.net"
"fenappdlpp03","","Windows","In Use","172.19.7.32","Windows 2008 R2","us.maritz.net"
"fenappdlpp04","","Windows","In Use","172.19.7.33","Windows 2008 R2","us.maritz.net"
"fenappdlpp06","","Windows","In Use","172.19.7.28","Windows 2008 R2","us.maritz.net"
"fenappdlpp07","","Windows","In Use","172.19.7.29","Windows 2008 R2","us.maritz.net"
"fenappedp02","","Windows","In Use","156.45.55.119","Windows 2003","us.maritz.net"
"fenappedp03","","Windows","In Use","156.45.55.116","Windows 2003","us.maritz.net"
"fenappedp06","","Windows","In Use","156.45.54.44","Windows 2003","us.maritz.net"
"fenappedp07","","Windows","In Use","156.45.54.65","Windows 2008 R2","us.maritz.net"
"fenappekmp02","","Windows","In Use","10.2.1.56","Windows Server 2012 Standard","us.maritz.net"
"fenappepop02","","Windows","In Use","156.45.50.81","Windows 2003","us.maritz.net"
"fenappepop03","","Windows","In Use","156.45.50.159","Windows Server 2012 Standard","us.maritz.net"
"fenappfind01","","Windows","In Use","172.19.15.25","Windows 2008 R2","us.maritz.net"
"fenappfind02","","Windows","De-Installed","172.19.15.26","Windows 2003 R2","us.maritz.net"
"fenappfind04","","Windows","In Use","172.19.15.28","Windows 2008 R2","us.maritz.net"
"fenappfinp02","us.maritz.net","Windows","In Use","172.19.15.20","Windows 2003 R2","us.maritz.net"
"fenappfinp03","","Windows","In Use","172.19.15.24","Windows 2008 R2","us.maritz.net"
"fenappfinp04","","Windows","In Use","156.45.55.113","Windows 2008 R2","us.maritz.net"
"fenappfinp05","","Windows","In Use","172.19.15.21","Windows 2008 R2","us.maritz.net"
"fenappgateway01","","Windows","In Use","172.19.23.27","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappiexp01","","Windows","In Use","172.18.6.11","Windows 2008 R2","us.maritz.net"
"fenapplawp01","","Windows","In Use","156.45.50.72","Windows 2003","us.maritz.net"
"fenappmgd02","","Windows","Installed","156.45.66.58","Windows 2008 R2","us.maritz.net"
"fenappmgp01","","Windows","In Use","172.19.7.30","Windows 2008 R2","us.maritz.net"
"fenappmgp03","","Windows","In Use","172.19.1.249","","us.maritz.net"
"fenappmgp07","","Windows","In Use","156.45.55.249","Windows 2008 R2","us.maritz.net"
"fenappmgp11","","Windows","Decommissioned","172.19.8.61","Windows Server 2012 Standard","us.maritz.net"
"fenappmgp12","","Windows","Decommissioned","172.19.8.62","Windows Server 2012 Standard","us.maritz.net"
"fenappmgp13","","Windows","In Use","172.19.8.63","Windows Server 2012 Standard","us.maritz.net"
"fenappmgp14","","Windows","In Use","156.45.55.121","Windows 2008 R2","us.maritz.net"
"fenappmgp16","","Windows","In Use","172.19.8.35","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappmgp17","","Windows","In Use","172.19.8.42","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappmgp18","","Windows","In Use","156.45.55.20","Windows 2008 R2","us.maritz.net"
"fenappmgp19","","Windows","Installed","156.45.55.127","Windows 2008 R2","us.maritz.net"
"fenappmgp20","","Windows","In Use","156.45.55.241","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappmgts01","","Windows","In Use","156.45.50.69","Windows 2003","us.maritz.net"
"fenappmgtsp01","","Windows","In Use","156.45.50.142","Windows 2008 R2","us.maritz.net"
"fenappmgtsp06","","Windows","In Use","156.45.50.39","Windows 2008 R2","us.maritz.net"
"fenappmgtsp801v","","Windows","In Use","156.45.55.201","Windows 2003","us.maritz.net"
"fenappmlmp02","","Windows","In Use","156.45.50.99","Windows 2003","us.maritz.net"
"fenappmlms01","","Windows","Retired","172.18.2.88","Windows 2003","us.maritz.net"
"fenappmlms02","","Windows","In Use","172.18.2.91","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappmlp02","","Windows","In Use","156.45.54.194","Windows 2003","us.maritz.net"
"fenappmmd02","","Windows","In Use","156.45.66.13","Windows 2003","us.maritz.net"
"fenappmmd03","","Windows","Build/Rebuild","156.45.66.63","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappmmp01","","Windows","In Use","156.45.55.46","Windows 2003","us.maritz.net"
"fenappmmp02","","Windows","In Use","156.45.54.13","Windows 2003","us.maritz.net"
"fenappmmp04","","Windows","Build/Rebuild","156.45.66.68","","us.maritz.net"
"fenappmrp01","","Windows","In Use","156.45.54.179","Windows 2003","us.maritz.net"
"fenappmrp05","","Windows","In Use","172.19.23.83","Windows 2008 R2","us.maritz.net"
"fenappmrp06","","Windows","In Use","172.19.23.84","Windows 2008 R2","us.maritz.net"
"fenappmrp07","","Windows","Build/Rebuild","156.45.54.182","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappmrp801v","","Windows","In Use","156.45.55.185","Windows 2003","us.maritz.net"
"fenappmsapvp03","","Windows","In Use","156.45.55.145","Windows 2008 R2","us.maritz.net"
"fenappmsapvp04","","Windows","In Use","156.45.55.134","Windows 2008 R2","us.maritz.net"
"fenappmsapvs01","","Windows","In Use","156.45.55.202","Windows 2008 R2","us.maritz.net"
"fenappmskmsp01","","Windows","In Use","156.45.65.85","Windows 2008 R2","us.maritz.net"
"fenappnicep01","","Windows","In Use","172.18.6.62","Windows 2003 R2","us.maritz.net"
"fenappnicep02","","Windows","In Use","172.18.6.63","Windows 2003 R2","us.maritz.net"
"fenappnicep03","","Windows","In Use","172.18.6.64","Windows 2008 R2","us.maritz.net"
"fenappnicep04","","Windows","In Use","172.18.6.65","Windows 2008 R2","us.maritz.net"
"fenappnmsp01","","Windows","In Use","172.19.7.35","Windows 2008 R2","us.maritz.net"
"fenappnmsp02","","Windows","In Use","156.45.55.6","Windows 2008 R2","us.maritz.net"
"fenappnmsp03","","Windows","In Use","172.19.7.38","Windows 2008 R2","us.maritz.net"
"fenappnmsp04","","Windows","In Use","156.45.55.25","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappnoc04","","Windows","In Use","156.45.55.39","Windows 2008 R2","us.maritz.net"
"fenappowap01","","Windows","In Use","156.45.50.102","Windows 2003","us.maritz.net"
"fenapppold01","","Windows","Installed","156.45.66.217","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenapppolp01","","Windows","Installed","156.45.55.28","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenapppols01","","Windows","Installed","156.45.66.218","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappprn03","","Windows","In Use","156.45.55.97","Windows 2003","us.maritz.net"
"fenappsccmp01","","Windows","In Use","156.45.54.190","Windows 2008 R2","us.maritz.net"
"fenappsccmp02","","Windows","In Use","156.45.54.192","Windows 2008 R2","us.maritz.net"
"fenappsccmp03","","Windows","In Use","156.45.54.193","Windows 2008 R2","us.maritz.net"
"fenappsccmp04","","Windows","In Use","156.45.54.72","Windows 2008 R2","us.maritz.net"
"fenappsccmp06","","Windows","In Use","156.45.54.61","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappsccmp07","","Windows","In Use","156.45.54.37","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappsccmp08","","Windows","Installed","156.45.54.34","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappscomp01","","Windows","In Use","172.19.1.30","","us.maritz.net"
"fenappsecp03","","Windows","In Use","156.45.55.188","Windows 2003","us.maritz.net"
"fenappsecp08","","Windows","Retired","156.45.54.21","Windows 2008 R2","us.maritz.net"
"fenappsecp09","","Windows","In Use","156.45.54.29","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappsepp01","","Windows","In Use","156.45.54.141","Windows 2003","us.maritz.net"
"fenappsim02","","Windows","In Use","156.45.55.61","Windows 2008 R2","us.maritz.net"
"fenappsnsenvp01","","Windows","In Use","172.19.8.15","Windows 2008 R2","us.maritz.net"
"fenappsnsenvp02","","Windows","In Use","172.19.8.16","Windows 2008 R2","us.maritz.net"
"fenappsnsmgmp01","","Windows","In Use","172.19.8.17","Windows 2008 R2","us.maritz.net"
"fenappsnsmgmp02","","Windows","In Use","172.19.8.18","Windows 2008 R2","us.maritz.net"
"fenappstg02","","Windows","In Use","156.45.54.91","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappsvnd01","","Windows","In Use","156.45.66.101","Windows 2008 R2","us.maritz.net"
"fenappsvnp02","","Windows","In Use","156.45.66.106","Windows 2008 R2","us.maritz.net"
"fenappsynp01","","Windows","In Use","156.45.54.132","Windows 2003","us.maritz.net"
"fenappsynp02","","Windows","Build/Rebuild","156.45.54.26","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenapptramsp02","","Windows","In Use","156.45.55.107","Windows 2008 R2","us.maritz.net"
"fenappvcp03","","Windows","In Use","172.18.7.104","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenappvsrp01","","Windows","In Use","172.18.7.199","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenbes04","","Windows","Retired","156.45.53.65","Windows 2003","us.maritz.net"
"fenbes05","","Windows","Installed","156.45.53.57","Windows 2008 R2","us.maritz.net"
"fenbkup01","","Windows","In Use","156.45.54.231","Windows 2008 R2","us.maritz.net"
"fenbkup02","","Windows","In Use","156.45.55.114","Windows 2008 R2","us.maritz.net"
"fenbkup03","","Windows","In Use","156.45.54.175","Windows 2008 R2","us.maritz.net"
"fenbkup04","","Windows","In Use","156.45.55.208","Windows 2008 R2","us.maritz.net"
"fenbkup20","","Windows","In Use","156.45.55.66","Windows 2008 R2","us.maritz.net"
"fenclsr2601","","Windows","In Use","156.45.50.54","Windows 2003","us.maritz.net"
"fenclsr2602","","Windows","In Use","156.45.50.55","Windows 2003","us.maritz.net"
"fenclsr2701","","Windows","In Use","156.45.50.132","Windows 2003","us.maritz.net"
"fenclsr2702","","Windows","In Use","156.45.50.12","Windows 2003","us.maritz.net"
"fenclsr2801","","Windows","In Use","156.45.50.227","Windows 2003","us.maritz.net"
"fenclsr2802","","Windows","In Use","156.45.50.228","Windows 2003","us.maritz.net"
"fenclsr3301","","Windows","In Use","172.19.22.21","Windows 2008 R2","us.maritz.net"
"fenclsr3302","","Windows","In Use","172.19.22.22","Windows 2008 R2","us.maritz.net"
"fendcus01","","Windows","In Use","156.45.65.61","Windows 2008 R2","us.maritz.net"
"fendcus02","","Windows","In Use","156.45.65.59","Windows 2008 R2","us.maritz.net"
"fendcus03","","Windows","In Use","156.45.65.60","Windows 2008 R2","us.maritz.net"
"fendcus13","","Windows","In Use","156.45.56.17","Windows 2008 R2","us.maritz.net"
"fendcus14","","Windows","In Use","156.45.56.18","Windows 2008 R2","us.maritz.net"
"fendcus21","","Windows","In Use","172.19.1.21","Windows 2008 R2","us.maritz.net"
"fendcus22","","Windows","In Use","172.19.1.22","Windows 2008 R2","us.maritz.net"
"fendcus23","","Windows","In Use","172.19.1.23","Windows 2008 R2","us.maritz.net"
"fendhcp01","","Windows","Retired","156.45.65.56","Windows 2003","us.maritz.net"
"fendhcp02","","Windows","In Use","156.45.65.56","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenexch05","","Windows","In Use","156.45.53.31","Windows 2008 R2","us.maritz.net"
"fenexch06","","Windows","In Use","156.45.53.30","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenexch07","","Windows","In Use","156.45.53.43","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenexch08","","Windows","In Use","156.45.53.45","Windows 2008 R2","us.maritz.net"
"fenexch11","","Windows","In Use","156.45.53.70","Windows 2008 R2","us.maritz.net"
"fenexch13","","Windows","In Use","156.45.53.72","Windows 2008 R2","us.maritz.net"
"fenftp10","maritz.com","Windows","In Use","156.45.50.249","Windows 2003","us.maritz.net"
"fenftp1008","","Windows","In Use","172.19.2.253","Windows 2003","us.maritz.net"
"fenftp1009","","Windows","In Use","172.19.18.253","Windows 2008 R2","us.maritz.net"
"fenftp1010","","Windows","In Use","172.19.22.253","Windows 2008 R2","us.maritz.net"
"fenftp1012","","Windows","In Use","172.19.17.253","Windows 2008 R2","us.maritz.net"
"fenftp1013","","Windows","In Use","172.19.23.253","Windows 2008 R2","us.maritz.net"
"fenftp1014","","Windows","In Use","156.45.50.90","Windows 2008 R2","us.maritz.net"
"fenftp1015","","Windows","In Use","172.19.8.253","Windows 2008 R2","us.maritz.net"
"fenftp1016","","Windows","In Use","172.19.20.253","Windows 2008 R2","us.maritz.net"
"fenftp1017","","Windows","In Use","172.19.15.253","Windows 2008 R2","us.maritz.net"
"fenftp1018","","Windows","In Use","172.19.5.248","Windows Server 2012 Standard","us.maritz.net"
"fenftp1020","","Windows","Build/Rebuild","172.18.2.245","","us.maritz.net"
"fenftp1021","","Windows","Build/Rebuild","172.18.1.254","","us.maritz.net"
"fenftp1022","","Windows","Build/Rebuild","172.18.6.254","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenftp1026","","Windows","Build/Rebuild","172.19.2.252","","us.maritz.net"
"fenftp1027","","Windows","In Use","172.19.6.248","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenftp20","","Windows","Build/Rebuild","156.45.50.110","","us.maritz.net"
"fenftp801v","","Windows","In Use","172.18.6.253","Windows 2003","us.maritz.net"
"fenftp802v","","Windows","In Use","172.18.1.253","Windows 2003","us.maritz.net"
"fenftp803","","Windows","In Use","172.18.2.253","Windows 2003","us.maritz.net"
"fenhdpitd01","","Windows","Installed","156.45.66.152","","us.maritz.net"
"fenhdpitd02","","Windows","Installed","156.45.66.153","","us.maritz.net"
"fenitrdsp02","","Windows","In Use","156.45.50.240","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenitrdsp04","","Windows","Build/Rebuild","172.18.2.240","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenlcs04","","Windows","In Use","156.45.53.32","Windows 2008 R2","us.maritz.net"
"fenmsg08","","Windows","In Use","156.45.53.56","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenmsg99","","Windows","Installed","156.45.53.59","Windows 2008 R2","us.maritz.net"
"fenmsgiac01","","Windows","Installed","156.45.53.90","Windows 2008 R2","us.maritz.net"
"fenmta29","","Windows","In Use","156.45.53.11","Windows 2008 R2","us.maritz.net"
"fenoffc301","","Windows","In Use","156.45.54.45","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenoffc302","","Windows","In Use","156.45.54.53","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenprnt001","","Windows","In Use","156.45.54.19","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fenprnt002","","Windows","Build/Rebuild","156.45.54.25","","us.maritz.net"
"fenprnt003","","Windows","In Use","156.45.54.64","Windows Server 2012 Standard","us.maritz.net"
"fenprnt004","","Windows","In Use","156.45.54.84","Windows Server 2012 Standard","us.maritz.net"
"fenrdslcnsp01","","Windows","In Use","172.19.21.31","Windows 2008 R2","us.maritz.net"
"fenrdslcnsp03","","Windows","In Use","156.45.82.17","Windows 2008 R2","us.maritz.net"
"fenris02","","Windows","Retired","156.45.65.66","Windows 2003","us.maritz.net"
"fenris04","","Windows","In Use","156.45.65.70","Windows 2003","us.maritz.net"
"fensanmgmt07","","Windows","In Use","10.2.1.69","Windows 2008 R2","us.maritz.net"
"fensanmgmt08","","Windows","In Use","10.2.1.73","Windows 2008 R2","us.maritz.net"
"fensanmgmt09","","Windows","In Use","10.2.1.22","Windows 2008 R2","us.maritz.net"
"fensanmgmt10","","Windows","In Use","10.2.1.68","Windows 2008 R2","us.maritz.net"
"fensanmgmt11","","Windows","In Use","10.2.1.80","Windows 2008 R2","us.maritz.net"
"fensqladmd01","","Windows","In Use","156.45.50.86","Windows 2008 R2","us.maritz.net"
"fensqladmd02","","Windows","Installed","156.45.50.51","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fensqladmp01","","Windows","In Use","172.19.5.17","Windows 2008 R2","us.maritz.net"
"fensqladmp02","","Windows","Build/Rebuild","172.19.5.20","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fensqlcsid02","","Windows","In Use","172.19.2.18","Windows 2008 R2","us.maritz.net"
"fensqlcsip01","","Windows","In Use","172.19.6.53","Windows 2008 R2","us.maritz.net"
"fensqlcsip02","","Windows","In Use","172.19.6.35","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fensqlcsip03","us.maritz.net","Windows","In Use","172.19.6.41","Windows Server 2012 R2 Standard R2","us.maritz.net"
"fensqlcsis02","","Windows","In Use","172.19.2.19","Windows 2008 R2","us.maritz.net"
"fensqlmcp02","","Windows","In Use","172.19.5.16","Windows 2008 R2","us.maritz.net"
"fensqlmcp03","","Windows","In Use","172.19.5.27","Windows 2008 R2","us.maritz.net"
"fensqlmcp04","","Windows","In Use","172.19.5.36","Windows 2008 R2","us.maritz.net"
"fensqlmcp05","","Windows","In Use","172.19.6.12","Windows 2008 R2","us.maritz.net"
"fensqlmcp06","","Windows","In Use","172.19.6.99","Windows 2008 R2","us.maritz.net"
"fensqlmcp08","","Windows","In Use","172.19.6.121","Windows 2008 R2","us.maritz.net"
"fensqlmcp09","","Windows","In Use","172.19.6.122","Windows 2008 R2","us.maritz.net"
"fensqlmcp10","","Windows","In Use","172.19.5.64","Windows 2008 R2","us.maritz.net"
"fensqlmcp11","","Windows","In Use","172.19.5.37","Windows 2008 R2","us.maritz.net"
"fensqlmcp12","","Windows","In Use","172.19.5.31","Windows 2008 R2","us.maritz.net"
"fensqlmcs02","","Windows","In Use","172.19.6.47","Windows 2008 R2","us.maritz.net"
"fensqlmcs03","","Windows","In Use","172.19.5.18","Windows 2008 R2","us.maritz.net"
"fensqlmcs05","","Windows","In Use","172.19.6.95","Windows 2008 R2","us.maritz.net"
"fensqlmcs06","","Windows","In Use","172.19.6.125","Windows 2008 R2","us.maritz.net"
